,id,motivation,share,year,category,overallMotivation,century,name
39,981,"""for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",1,2019,peace,,21,Abiy Ahmed Ali
36,977,"""for the development of lithium-ion batteries""",3,2019,chemistry,,21,M. Stanley Whittingham
37,983,"""for their experimental approach to alleviating global poverty""",3,2019,economics,,21,Esther Duflo
40,974,"""for the discovery of an exoplanet orbiting a solar-type star""",4,2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",21,Michel Mayor
41,971,"""for their discoveries of how cells sense and adapt to oxygen availability""",3,2019,medicine,,21,Peter Ratcliffe
36,976,"""for the development of lithium-ion batteries""",3,2019,chemistry,,21,John Goodenough
37,982,"""for their experimental approach to alleviating global poverty""",3,2019,economics,,21,Abhijit Banerjee
40,973,"""for theoretical discoveries in physical cosmology""",2,2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",21,James Peebles
38,980,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",1,2019,literature,,21,Peter Handke
36,978,"""for the development of lithium-ion batteries""",3,2019,chemistry,,21,Akira Yoshino
41,972,"""for their discoveries of how cells sense and adapt to oxygen availability""",3,2019,medicine,,21,Gregg Semenza
40,975,"""for the discovery of an exoplanet orbiting a solar-type star""",4,2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",21,Didier Queloz
37,984,"""for their experimental approach to alleviating global poverty""",3,2019,economics,,21,Michael Kremer
41,970,"""for their discoveries of how cells sense and adapt to oxygen availability""",3,2019,medicine,,21,William Kaelin
42,963,"""for the directed evolution of enzymes""",2,2018,chemistry,,21,Frances H. Arnold
45,966,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2,2018,peace,,21,Denis Mukwege
44,979,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",1,2018,literature,,21,Olga Tokarczuk
47,958,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2,2018,medicine,,21,James P. Allison
42,964,"""for the phage display of peptides and antibodies""",4,2018,chemistry,,21,George P. Smith
43,968,"""for integrating climate change into long-run macroeconomic analysis""",2,2018,economics,,21,William D. Nordhaus
46,960,"""for the optical tweezers and their application to biological systems""",2,2018,physics,"""for groundbreaking inventions in the field of laser physics""",21,Arthur Ashkin
46,962,"""for their method of generating high-intensity, ultra-short optical pulses""",4,2018,physics,"""for groundbreaking inventions in the field of laser physics""",21,Donna Strickland
47,959,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2,2018,medicine,,21,Tasuku Honjo
46,961,"""for their method of generating high-intensity, ultra-short optical pulses""",4,2018,physics,"""for groundbreaking inventions in the field of laser physics""",21,Gérard Mourou
43,969,"""for integrating technological innovations into long-run macroeconomic analysis""",2,2018,economics,,21,Paul M. Romer
45,967,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2,2018,peace,,21,Nadia Murad
42,965,"""for the phage display of peptides and antibodies""",4,2018,chemistry,,21,Sir Gregory P. Winter
50,947,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""",1,2017,literature,,21,Kazuo Ishiguro
48,946,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3,2017,chemistry,,21,Richard Henderson
53,940,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3,2017,medicine,,21,Michael W. Young
49,949,"""for his contributions to behavioural economics""",1,2017,economics,,21,Richard H. Thaler
48,944,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3,2017,chemistry,,21,Jacques Dubochet
52,941,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2,2017,physics,,21,Rainer Weiss
52,943,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",4,2017,physics,,21,Kip S. Thorne
51,948,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",1,2017,peace,,21,
48,945,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3,2017,chemistry,,21,Joachim Frank
52,942,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",4,2017,physics,,21,Barry C. Barish
53,939,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3,2017,medicine,,21,Michael Rosbash
53,938,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3,2017,medicine,,21,Jeffrey C. Hall
54,933,"""for the design and synthesis of molecular machines""",3,2016,chemistry,,21,Bernard L. Feringa
58,928,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2,2016,physics,,21,David J. Thouless
59,927,"""for his discoveries of mechanisms for autophagy""",1,2016,medicine,,21,Yoshinori Ohsumi
58,929,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",4,2016,physics,,21,F. Duncan M. Haldane
55,936,"""for their contributions to contract theory""",2,2016,economics,,21,Bengt Holmström
54,932,"""for the design and synthesis of molecular machines""",3,2016,chemistry,,21,Sir J. Fraser Stoddart
57,934,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",1,2016,peace,,21,Juan Manuel Santos
54,931,"""for the design and synthesis of molecular machines""",3,2016,chemistry,,21,Jean-Pierre Sauvage
58,930,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",4,2016,physics,,21,J. Michael Kosterlitz
56,937,"""for having created new poetic expressions within the great American song tradition""",1,2016,literature,,21,Bob Dylan
55,935,"""for their contributions to contract theory""",2,2016,economics,,21,Oliver Hart
64,920,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2,2015,physics,,21,Arthur B. McDonald
65,918,"""for her discoveries concerning a novel therapy against Malaria""",2,2015,medicine,,21,Youyou Tu
63,925,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",1,2015,peace,,21,
65,916,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4,2015,medicine,,21,William C. Campbell
60,922,"""for mechanistic studies of DNA repair""",3,2015,chemistry,,21,Paul Modrich
64,919,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2,2015,physics,,21,Takaaki Kajita
65,917,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4,2015,medicine,,21,Satoshi Ōmura
62,924,"""for her polyphonic writings, a monument to suffering and courage in our time""",1,2015,literature,,21,Svetlana Alexievich
60,921,"""for mechanistic studies of DNA repair""",3,2015,chemistry,,21,Tomas Lindahl
61,926,"""for his analysis of consumption, poverty, and welfare""",1,2015,economics,,21,Angus Deaton
60,923,"""for mechanistic studies of DNA repair""",3,2015,chemistry,,21,Aziz Sancar
70,908,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,2014,physics,,21,Shuji Nakamura
70,906,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,2014,physics,,21,Isamu Akasaki
69,913,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2,2014,peace,,21,Kailash Satyarthi
68,912,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",1,2014,literature,,21,Patrick Modiano
67,915,"""for his analysis of market power and regulation""",1,2014,economics,,21,Jean Tirole
66,909,"""for the development of super-resolved fluorescence microscopy""",3,2014,chemistry,,21,Eric Betzig
71,903,"""for their discoveries of cells that constitute a positioning system in the brain""",2,2014,medicine,,21,John O'Keefe
66,911,"""for the development of super-resolved fluorescence microscopy""",3,2014,chemistry,,21,William E. Moerner
71,904,"""for their discoveries of cells that constitute a positioning system in the brain""",4,2014,medicine,,21,May-Britt Moser
70,907,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,2014,physics,,21,Hiroshi Amano
69,914,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2,2014,peace,,21,Malala Yousafzai
66,910,"""for the development of super-resolved fluorescence microscopy""",3,2014,chemistry,,21,Stefan W. Hell
71,905,"""for their discoveries of cells that constitute a positioning system in the brain""",4,2014,medicine,,21,Edvard I. Moser
72,889,"""for the development of multiscale models for complex chemical systems""",3,2013,chemistry,,21,Martin Karplus
73,895,"""for their empirical analysis of asset prices""",3,2013,economics,,21,Lars Peter Hansen
72,891,"""for the development of multiscale models for complex chemical systems""",3,2013,chemistry,,21,Arieh Warshel
73,896,"""for their empirical analysis of asset prices""",3,2013,economics,,21,Robert J. Shiller
77,886,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",3,2013,medicine,,21,Thomas C. Südhof
72,890,"""for the development of multiscale models for complex chemical systems""",3,2013,chemistry,,21,Michael Levitt
73,894,"""for their empirical analysis of asset prices""",3,2013,economics,,21,Eugene F. Fama
75,893,"""for its extensive efforts to eliminate chemical weapons""",1,2013,peace,,21,
76,887,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2,2013,physics,,21,François Englert
77,884,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",3,2013,medicine,,21,James E. Rothman
77,885,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",3,2013,medicine,,21,Randy W. Schekman
76,888,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2,2013,physics,,21,Peter Higgs
74,892,"""master of the contemporary short story""",1,2013,literature,,21,Alice Munro
83,874,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2,2012,medicine,,21,Sir John B. Gurdon
78,878,"""for studies of G-protein-coupled receptors""",2,2012,chemistry,,21,Robert J. Lefkowitz
79,882,"""for the theory of stable allocations and the practice of market design""",2,2012,economics,,21,Alvin E. Roth
81,881,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",1,2012,peace,,21,
82,876,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2,2012,physics,,21,Serge Haroche
80,880,"""who with hallucinatory realism merges folk tales, history and the contemporary""",1,2012,literature,,21,Mo Yan
78,879,"""for studies of G-protein-coupled receptors""",2,2012,chemistry,,21,Brian Kobilka
79,883,"""for the theory of stable allocations and the practice of market design""",2,2012,economics,,21,Lloyd S. Shapley
82,877,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2,2012,physics,,21,David J. Wineland
83,875,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2,2012,medicine,,21,Shinya Yamanaka
89,863,"""for his discovery of the dendritic cell and its role in adaptive immunity""",2,2011,medicine,,21,Ralph M. Steinman
85,873,"""for their empirical research on cause and effect in the macroeconomy""",2,2011,economics,,21,Christopher A. Sims
88,866,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4,2011,physics,,21,Adam G. Riess
86,868,"""because, through his condensed, translucent images, he gives us fresh access to reality""",1,2011,literature,,21,Tomas Tranströmer
88,865,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4,2011,physics,,21,Brian P. Schmidt
87,870,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3,2011,peace,,21,Leymah Gbowee
87,871,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3,2011,peace,,21,Tawakkol Karman
89,862,"""for their discoveries concerning the activation of innate immunity""",4,2011,medicine,,21,Jules A. Hoffmann
85,872,"""for their empirical research on cause and effect in the macroeconomy""",2,2011,economics,,21,Thomas J. Sargent
89,861,"""for their discoveries concerning the activation of innate immunity""",4,2011,medicine,,21,Bruce A. Beutler
88,864,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2,2011,physics,,21,Saul Perlmutter
87,869,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3,2011,peace,,21,Ellen Johnson Sirleaf
84,867,"""for the discovery of quasicrystals""",1,2011,chemistry,,21,Dan Shechtman
90,852,"""for palladium-catalyzed cross couplings in organic synthesis""",3,2010,chemistry,,21,Ei-ichi Negishi
90,853,"""for palladium-catalyzed cross couplings in organic synthesis""",3,2010,chemistry,,21,Akira Suzuki
91,858,"""for their analysis of markets with search frictions""",3,2010,economics,,21,Christopher A. Pissarides
90,851,"""for palladium-catalyzed cross couplings in organic synthesis""",3,2010,chemistry,,21,Richard F. Heck
91,856,"""for their analysis of markets with search frictions""",3,2010,economics,,21,Peter A. Diamond
91,857,"""for their analysis of markets with search frictions""",3,2010,economics,,21,Dale T. Mortensen
95,848,"""for the development of in vitro fertilization""",1,2010,medicine,,21,Robert G. Edwards
94,849,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2,2010,physics,,21,Andre Geim
94,850,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2,2010,physics,,21,Konstantin Novoselov
92,854,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""",1,2010,literature,,21,Mario Vargas Llosa
93,855,"""for his long and non-violent struggle for fundamental human rights in China""",1,2010,peace,,21,Xiaobo Liu
101,835,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,2009,medicine,,21,Elizabeth H. Blackburn
101,837,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,2009,medicine,,21,Jack W. Szostak
97,846,"""for her analysis of economic governance, especially the commons""",2,2009,economics,,21,Elinor Ostrom
97,847,"""for his analysis of economic governance, especially the boundaries of the firm""",2,2009,economics,,21,Oliver E. Williamson
96,843,"""for studies of the structure and function of the ribosome""",3,2009,chemistry,,21,Ada E. Yonath
100,840,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4,2009,physics,,21,George E. Smith
96,842,"""for studies of the structure and function of the ribosome""",3,2009,chemistry,,21,Thomas A. Steitz
101,836,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,2009,medicine,,21,Carol W. Greider
100,839,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4,2009,physics,,21,Willard S. Boyle
96,841,"""for studies of the structure and function of the ribosome""",3,2009,chemistry,,21,Venkatraman Ramakrishnan
99,845,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",1,2009,peace,,21,Barack Obama
100,838,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2,2009,physics,,21,Charles K. Kao
98,844,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",1,2009,literature,,21,Herta Müller
102,830,"""for the discovery and development of the green fluorescent protein, GFP""",3,2008,chemistry,,21,Martin Chalfie
107,823,"""for his discovery of human papilloma viruses causing cervical cancer""",2,2008,medicine,,21,Harald zur Hausen
106,828,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4,2008,physics,,21,Toshihide Maskawa
107,825,"""for their discovery of human immunodeficiency virus""",4,2008,medicine,,21,Luc Montagnier
107,824,"""for their discovery of human immunodeficiency virus""",4,2008,medicine,,21,Françoise Barré-Sinoussi
106,827,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4,2008,physics,,21,Makoto Kobayashi
106,826,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",2,2008,physics,,21,Yoichiro Nambu
105,833,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",1,2008,peace,,21,Martti Ahtisaari
103,834,"""for his analysis of trade patterns and location of economic activity""",1,2008,economics,,21,Paul Krugman
102,829,"""for the discovery and development of the green fluorescent protein, GFP""",3,2008,chemistry,,21,Osamu Shimomura
102,831,"""for the discovery and development of the green fluorescent protein, GFP""",3,2008,chemistry,,21,Roger Y. Tsien
104,832,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""",1,2008,literature,,21,Jean-Marie Gustave Le Clézio
110,817,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",1,2007,literature,,21,Doris Lessing
109,821,"""for having laid the foundations of mechanism design theory""",3,2007,economics,,21,Eric S. Maskin
111,819,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",2,2007,peace,,21,Al Gore
112,815,"""for the discovery of Giant Magnetoresistance""",2,2007,physics,,21,Peter Grünberg
113,812,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,2007,medicine,,21,Sir Martin J. Evans
108,816,"""for his studies of chemical processes on solid surfaces""",1,2007,chemistry,,21,Gerhard Ertl
109,820,"""for having laid the foundations of mechanism design theory""",3,2007,economics,,21,Leonid Hurwicz
111,818,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",2,2007,peace,,21,
109,822,"""for having laid the foundations of mechanism design theory""",3,2007,economics,,21,Roger B. Myerson
113,813,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,2007,medicine,,21,Oliver Smithies
112,814,"""for the discovery of Giant Magnetoresistance""",2,2007,physics,,21,Albert Fert
113,811,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,2007,medicine,,21,Mario R. Capecchi
118,805,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2,2006,physics,,21,George F. Smoot
116,808,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",1,2006,literature,,21,Orhan Pamuk
119,803,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2,2006,medicine,,21,Craig C. Mello
118,804,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2,2006,physics,,21,John C. Mather
117,809,"""for their efforts to create economic and social development from below""",2,2006,peace,,21,Muhammad Yunus
115,807,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",1,2006,economics,,21,Edmund S. Phelps
119,802,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2,2006,medicine,,21,Andrew Z. Fire
114,806,"""for his studies of the molecular basis of eukaryotic transcription""",1,2006,chemistry,,21,Roger D. Kornberg
121,800,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2,2005,economics,,21,Thomas C. Schelling
124,792,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4,2005,physics,,21,John L. Hall
122,801,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",1,2005,literature,,21,Harold Pinter
123,797,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2,2005,peace,,21,
124,791,"""for his contribution to the quantum theory of optical coherence""",2,2005,physics,,21,Roy J. Glauber
125,789,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2,2005,medicine,,21,Barry J. Marshall
125,790,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2,2005,medicine,,21,J. Robin Warren
120,795,"""for the development of the metathesis method in organic synthesis""",3,2005,chemistry,,21,Robert H. Grubbs
121,799,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2,2005,economics,,21,Robert J. Aumann
123,798,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2,2005,peace,,21,Mohamed ElBaradei
124,793,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4,2005,physics,,21,Theodor W. Hänsch
